ocm_id,operator,usage_type,status,is_operational,address1,address2,town,state_province,postcode,country,latitude,longitude,title,num_points,connector_types,max_power_kw,all_connector_powers_kw,connection_statuses,borough,borough_density_km2,uk_avg_util_pct,uk_avg_energy_kWh,uk_usage_rows,priority_score,last_status_update,last_verified,submission_status,data_provider
253415,EV Dot,Public - Pay At Location,nan,nan,Rainsford Road,nan,Chelmsford,nan,CM1 2XB,GB,51.507351,-0.127758,BMM-CP-000504,,Type 2 (Socket Only); Type 2 (Socket Only),7.0,7,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.13143698763646883,2023-05-04T08:44:00Z,2023-05-04T08:44:00Z,Imported and Published,UK National Charge Point Registry
4396,(Unknown Operator),nan,Operational,True,Spring Garden,Westminster,London,nan,SW1A 2BN,GB,51.507291,-0.128896,Masterpark Trafalgar Square Car Park,,nan,,nan,nan,Westminster,13608.4,50.216666666666676,36.881025641025644,78,0.20920358023104013,2011-05-17T17:23:00Z,2011-05-17T17:23:00Z,Submission Published,Open Charge Map Contributors
52877,BP Pulse (UK),Public - Membership Required,Operational,True,Spring Gardens,City of Westminster,London,nan,SW1A 2TS,GB,51.507099,-0.130117,Q-Park Trafalgar Car Park,8.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational,Westminster,13608.4,50.216666666666676,36.881025641025644,78,0.22100961830375285,2023-04-03T16:58:00Z,2023-04-03T16:58:00Z,Submission Published,Open Charge Map Contributors
146490,VIRTA,"Private - For Staff, Visitors or Customers",Operational,True,440 Strand,Covent Garden,London,nan,WC2R 0QS,GB,51.50890313863235,-0.1255337882317917,Coutts Bank,1.0,Type 2 (Socket Only),7.0,7,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.13143698763646883,2020-01-10T10:18:00Z,2020-01-10T10:18:00Z,Submission Published,Open Charge Map Contributors
4399,BP Pulse (UK),Public - Membership Required,Operational,True,Whitcomb Street,Westminster,London,nan,WC2H 7DT,GB,51.509162,-0.13065,Q-Park Leicester Square Car Park,4.0,Type 2 (Socket Only),4.0,4,Operational,Westminster,13608.4,50.216666666666676,36.881025641025644,78,0.21250698855329156,2023-04-03T17:00:00Z,2023-04-03T17:00:00Z,Submission Published,Open Charge Map Contributors
170689,POD Point (UK),Public - Membership Required,Operational,True,Whitehall Place,nan,Westminster,London,SW1A 2BD,GB,51.506477,-0.12377,Westminster-Whitehall Place,2.0,Type 2 (Socket Only),7.0,7,Operational,Westminster,13608.4,50.216666666666676,36.881025641025644,78,0.21279044022156107,2024-11-19T06:21:00Z,2024-11-19T06:21:00Z,Submission Published,Open Charge Map Contributors
104898,BP Pulse (UK),Public - Membership Required,Operational,True,Saint Martins Lane Hotel,nan,45 Saint Martin's Lane,London,WC2N 4HX,GB,51.510475,-0.126729,Saint Martins Lane Hotel,2.0,CCS (Type 2); CHAdeMO; Type 2 (Tethered Connector),50.0,43; 50,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.17613906428805795,2023-08-23T10:23:00Z,2023-08-23T10:23:00Z,Submission Published,Open Charge Map Contributors
253530,Shell Recharge Solutions (UK),Public - Pay At Location,nan,nan,Junc. Bedfordbury,nan,London,nan,WC2N 4DQ,GB,51.510492,-0.125554,Junc. Bedfordbury,,Type 2 (Socket Only),5.0,5,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.12942153583935764,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published,UK National Charge Point Registry
99712,POD Point (UK),"Private - For Staff, Visitors or Customers",Unknown,nan,5 - 7 Carlton Gardens,nan,London,nan,SW1Y 5AD,GB,51.506042,-0.133653,Stirling Square,4.0,Type 2 (Socket Only),7.0,7,Unknown,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.13554657667756473,2023-10-09T13:27:00Z,2023-10-09T13:27:00Z,Submission Published,Open Charge Map Contributors
107862,BP Pulse (UK),Public - Membership Required,Operational,True,St James Square,Westminster,London,nan,SW1Y 4PD,GB,51.507729,-0.13457,St James Square,2.0,Type 2 (Socket Only),7.0,7,Operational,Westminster,13608.4,50.216666666666676,36.881025641025644,78,0.21279044022156107,2019-03-05T06:24:00Z,2019-03-05T06:24:00Z,Submission Published,Open Charge Map Contributors
129386,Charge Your Car,Public - Membership Required,Operational,True,St James's Square,nan,nan,nan,SW1Y 4PD,GB,51.50773,-0.13457,St James's Square,1.0,Type 2 (Socket Only),7.0,7,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.13143698763646883,2019-07-19T05:13:00Z,2019-07-19T05:13:00Z,Submission Published,Open Charge Map Contributors
4413,(Unknown Operator),nan,Operational,True,Newport Place,Westminster,London,nan,WC2H 7PU,GB,51.512046,-0.129753,Masterpark Chinatown Car Park,,nan,,nan,nan,Westminster,13608.4,50.216666666666676,36.881025641025644,78,0.20920358023104013,2011-05-17T17:23:00Z,2011-05-17T17:23:00Z,Submission Published,Open Charge Map Contributors
253591,Shell Recharge Solutions (UK),Public - Pay At Location,nan,nan,5 Upper St Martin's Lane,nan,London,nan,WC2H 9NY,GB,51.512373,-0.12711,5 Upper St Martin's Lane,,Type 2 (Socket Only),3.7,3.7,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.12811149217123538,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published,UK National Charge Point Registry
128396,BP Pulse (UK),Public - Membership Required,Operational,True,Q-Park Chinatown,nan,20 Newport Place,London,WC2H 7PR,GB,51.512299,-0.129615,Q-Park Chinatown,10.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only); Type 2 (Tethered Connector) ; CCS (Type 2); CHAdeMO,50.0,3; 43; 50; 7,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.187097968397647,2023-04-03T16:57:00Z,2023-04-03T16:57:00Z,Submission Published,Open Charge Map Contributors
46743,Total Energies (UK),Public - Pay At Location,Operational,True,Southampton Street,City of Westminster,London,nan,WC2E 7HE,GB,51.5109927464186,-0.122040510177612,Southampton Street,2.0,Type 2 (Socket Only); Type 2 (Socket Only),22.0,22,Operational,Westminster,13608.4,50.216666666666676,36.881025641025644,78,0.22790632869989497,2025-06-14T18:44:00Z,2025-06-14T18:44:00Z,Submission Published,Open Charge Map Contributors
253607,BP Pulse (UK),Public - Membership Required,nan,nan,20 Newport Place,nan,London,nan,WC2H 7PR,GB,51.512699,-0.130012,Q-Park Chinatown,,BS1363 3 Pin 13 Amp; BS1363 3 Pin 13 Amp,3.0,3,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.12740608404224646,2023-05-04T08:44:00Z,2023-05-04T08:44:00Z,Imported and Published,UK National Charge Point Registry
285956,Shell Recharge Solutions (UK),Public - Pay At Location,Unknown,nan,33 King Charles Street,nan,London,nan,SW1A 2AH,GB,51.501845,-0.127892,33 King Charles Street,,Type 2 (Socket Only),5.0,5,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.12942153583935764,2023-12-07T08:10:00Z,2023-12-07T08:10:00Z,Imported and Published,UK National Charge Point Registry
253610,BP Pulse (UK),Public - Membership Required,nan,nan,20 Newport Place,nan,London,nan,WC2H 7PR,GB,51.512798,-0.130113,Q-Park Chinatown,,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),22.0,22; 3,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.14655287611480272,2023-05-04T08:44:00Z,2023-05-04T08:44:00Z,Imported and Published,UK National Charge Point Registry
4409,(Unknown Operator),nan,Operational,True,2 Lexington Street,Westminster,London,nan,W1F 0LA,GB,51.511865,-0.134884,NCP Brewer Street - Chargepost 1,,nan,,nan,nan,Westminster,13608.4,50.216666666666676,36.881025641025644,78,0.20920358023104013,2011-05-17T17:23:00Z,2011-05-17T17:23:00Z,Submission Published,Open Charge Map Contributors
253549,Shell Recharge Solutions (UK),Public - Pay At Location,nan,nan,nan,nan,London,nan,W1F 9UN,GB,51.511428,-0.135708,Shell Recharge/Ubitricity,,Type 2 (Socket Only),5.0,5,Operational,Unknown,9318.948648648648,50.216666666666676,36.881025641025644,78,0.12942153583935764,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published,UK National Charge Point Registry
253565,BP Pulse (UK),Public - Membership Required,nan,nan,City of London,nan,London,nan,WC2E 7DU,GB,51.511902,-0.119569,Exeter Street,,BS1363 3 Pin 13 Amp; BS1363 3 Pin 13 Amp,3.0,3,Operational,City of London,3651.6,50.216666666666676,36.881025641025644,78,0.021729424921564378,2023-05-04T08:44:00Z,2023-05-04T08:44:00Z,Imported and Published,UK National Charge Point Registry
